address,vesting_total_amounts
cosmos13q82tu33s87mtp3r2qyz885vf50jwzq9a23fn4,5834530000
cosmos1qrqa5kyylkvfh48hj5tewp6hwash0v5gwqxmfp,63994030000
cosmos1wsvx07cvv75ej3xxfetkj4tg2jqt07v05mhg83,138065880000
cosmos1r4dnw29zwj6kgfmxcz2649e0ykrp4gh6nr4jkz,37234820000
cosmos142kwnnnwyfff8yzsfnm65v2ecrx0dkt4tdxdyj,225265360000
cosmos1kklpuwplrn7nwwuxdazfnv5zwkgzz9rwmuwslw,71764560000
cosmos10qmk6wpa5jm82x47wr44rdacy3jp94hhazyctn,8619170000
cosmos16l2a2l8taq0t52g5u53gvu70r4jlrxfm443u9l,18140030000
cosmos1aszjph9yfa7z5xmdju0mdepuk4f34w6vqjvzrm,503094410000
cosmos1sdjwkjnf8gvkkg94qxffph8hl77sez8macjfpm,254331860000
cosmos1xcw2e7yweph82k0yqqkds39vrthpktfj98ft8p,7690940000
cosmos1lf9vtxecmhzwdzhe83kjwgu5gf2yuxzzq7gqcn,20686000000
cosmos1lg8ukq2ehc9k0wgjfk0afm7uea8750ypn6gjlh,17768760000
cosmos1fuyx4e2l3qeu8k2wwmdcv7kpjaw3fd097lgns4,1162659940000
cosmos19rnkkznzthmltut44pz3m4n68rkes2najcakuv,7425740000
cosmos10e3sta8ywpz39ahl8wcly4qanul3phlh7rz5nd,27183530000
cosmos13nasdfwxqqkjwmnentqlatavncxtq0s7wv2e6k,18100260000
cosmos144k2ydte8k3dg3qu3aqduc9ngemydajaca0l5g,170328090000
cosmos1n99upe3x9ak39x4tnygswnvrdesv828cnrmm3v,62853650000
cosmos18xm7wfh8tt73y3naxspj8h5vzs8ftck9d7qf2k,11403820000
cosmos1w5g6kx29wvnr6aaaw62cr5clawwmq8sune3pz4,104809120000
cosmos1at56ptqjdxlc9n39tqjssz342q5tr2h4gvdqdw,14984090000
cosmos1n46p3xx2835npc47ax3pjd9jujhwfyjzgfl7gy,69881590000
cosmos197zhk2x8jrxdpqq0h675cfn932rnw4wp09m52e,1162659940000
cosmos1sfvcnuw50zanpt6uh4v34hmpwj3kguuazp7x9g,143462790000
cosmos14yq5spplqlu72n2zczafacx8tw09kr4e25n7fy,2917260000
cosmos1s5scggrdvtzlj7t6gtvh40mv362zhjcqv84lrq,113043760000
cosmos1yuz4fct5cc3td6fp7he055mut0d4ukcsyym3q6,2906649860000
cosmos13q9lgz5sl3c8nlyzzjxgd9vpchde6vtkdcyu48,4906300000
